Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.436,436,-30639.75,8458.05,,,
0.437,437,-30636.42,8459.3,,,
0.438,438,-30629.23,8465.03,,,
0.439,439,-30620.65,8473.49,,,
0.44,440,-30612.08,8482.96,,,
0.441,441,-30603.51,8492.25,,,
0.442,442,-30594.14,8500.8,,,
0.443,443,-30583.51,8508.37,,,
0.444,444,-30572.44,8514.6,,,
0.445,445,-30563.29,8518.64,,,
0.446,446,-30559.17,8519.18,,,
0.447,447,-30562.64,8514.86,,,
0.448,448,-30574.44,8504.97,,,
0.449,449,-30592.9,8490.02,,,
0.45,450,-30614.29,8472.01,,,
0.451,451,-30634.04,8454.11,,,
0.452,452,-30648.09,8439.84,,,
0.453,453,-30654.04,8432.14,,,
0.454,454,-30651.45,8432.56,,,
0.455,455,-30641.64,8440.87,,,
0.456,456,-30626.93,8455.25,,,
0.457,457,-30609.94,8472.85,,,
0.458,458,-30593.19,8490.61,,,
0.459,459,-30578.8,8505.85,,,
0.46,460,-30568.55,8516.7,,,
0.461,461,-30563.68,8522.14,,,
0.462,462,-30564.81,8521.9,,,
0.463,463,-30571.72,8516.2,,,
0.464,464,-30583.32,8505.66,,,
0.465,465,-30597.84,8491.3,,,
0.466,466,-30613.17,8474.59,,,
0.467,467,-30627.25,8457.46,,,
0.468,468,-30638.33,8442.24,,,
0.469,469,-30645.03,8431.32,,,
0.47,470,-30646.36,8426.69,,,
0.471,471,-30641.82,8429.45,,,
0.472,472,-30631.55,8439.36,,,
0.473,473,-30616.63,8454.78,,,
0.474,474,-30599.19,8472.88,,,
0.475,475,-30582.18,8490.28,,,
0.476,476,-30568.67,8503.85,,,
0.477,477,-30561.03,8511.49,,,
0.478,478,-30560.19,8512.52,,,
0.479,479,-30565.5,8507.69,,,
0.48,480,-30575.14,8498.66,,,
0.481,481,-30587.02,8487.33,,,
0.482,482,-30599.64,8475.22,,,
0.483,483,-30612.37,8463.26,,,
0.484,484,-30625.13,8451.97,,,
0.485,485,-30637.56,8442.02,,,
0.486,486,-30648.26,8434.62,,,
0.487,487,-30654.74,8431.6,,,
0.488,488,-30654.13,8434.95,,,
